,battery_energy,battery_power,battery_soc,gen,load,use,load_prediction,imbalance
2015-01-15 00:00:00,2.390851063,-0.41040000320000003,0.47817021260000003,0,0,0.41040000320000003,0.5153683585000001,-0.10496835530000004
2015-01-15 00:15:00,2.2762587793,-0.4308669865,0.4552517559,0,0,0.4308669865,0.5226744021,-0.09180741560000005
2015-01-15 00:30:00,2.1825353738,-0.3524000049,0.4365070748,0,0,0.3524000049,0.5215734149,-0.16917340999999997
2015-01-15 00:45:00,2.0899111746,-0.348266989,0.4179822349,0,0,0.348266989,0.5115389834,-0.1632719944
2015-01-15 01:00:00,1.972163039,-0.44273298980000003,0.3944326078,0,0,0.44273298980000003,0.48777042740000004,-0.04503743760000001
2015-01-15 01:15:00,1.8638829824,-0.40713301300000004,0.3727765965,0,0,0.40713301300000004,0.4899378687,-0.08280485569999996
2015-01-15 01:30:00,1.7490603727,-0.4317330122,0.3498120745,0,0,0.4317330122,0.46129003220000003,-0.029557020000000045
2015-01-15 01:45:00,1.6592199482,-0.3377999961,0.3318439896,0,0,0.3377999961,0.47155891860000004,-0.13375892250000004
2015-01-15 02:00:00,1.5614008,-0.3677999973,0.31228016000000003,0,0,0.3677999973,0.4533901943,-0.08559019699999998
2015-01-15 02:15:00,1.4496633014,-0.42013299470000004,0.28993266030000003,0,0,0.42013299470000004,0.4628344332,-0.042701438499999966
2015-01-15 02:30:00,1.3428547899,-0.4016000032,0.268570958,0,0,0.4016000032,0.46745113530000004,-0.06585113210000004
